train_id,priority,release_delay_min,track_id,from_station,to_station,from_name,to_name,start_min,end_min,duration_min,start_time,end_time
TRN0018,2,16,TRK0177,STN074,STN093,Jalandhar City Jn,Ludhiana Jn,287,295,8,2025-09-24T15:20:49.592971,2025-09-24T15:28:49.592971
TRN0018,2,16,TRK0176,STN093,STN004,Ludhiana Jn,Ambala Cantt Jn,377,385,8,2025-09-24T16:50:49.592971,2025-09-24T16:58:49.592971
TRN0018,2,16,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,386,394,8,2025-09-24T16:59:49.592971,2025-09-24T17:07:49.592971
TRN0018,2,16,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,396,404,8,2025-09-24T17:09:49.592971,2025-09-24T17:17:49.592971
TRN0019,1,21,TRK0185,STN030,STN102,BholaRai Halt,New Delhi,21,31,10,2025-09-24T10:54:49.592971,2025-09-24T11:04:49.592971
TRN0020,1,28,TRK0185,STN102,STN030,New Delhi,BholaRai Halt,31,39,8,2025-09-24T11:04:49.592971,2025-09-24T11:12:49.592971
TRN0021,2,6,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,6,16,10,2025-09-24T10:39:49.592971,2025-09-24T10:49:49.592971
TRN0021,2,6,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,23,33,10,2025-09-24T10:56:49.592971,2025-09-24T11:06:49.592971
TRN0021,2,6,TRK0176,STN004,STN093,Ambala Cantt Jn,Ludhiana Jn,333,343,10,2025-09-24T16:06:49.592971,2025-09-24T16:16:49.592971
TRN0021,2,6,TRK0177,STN093,STN074,Ludhiana Jn,Jalandhar City Jn,343,353,10,2025-09-24T16:16:49.592971,2025-09-24T16:26:49.592971
TRN0021,2,6,TRK0166,STN074,STN006,Jalandhar City Jn,Amritsar Jn,353,363,10,2025-09-24T16:26:49.592971,2025-09-24T16:36:49.592971
TRN0022,2,20,TRK0166,STN006,STN074,Amritsar Jn,Jalandhar City Jn,87,97,10,2025-09-24T12:00:49.592971,2025-09-24T12:10:49.592971
TRN0022,2,20,TRK0177,STN074,STN093,Jalandhar City Jn,Ludhiana Jn,104,114,10,2025-09-24T12:17:49.592971,2025-09-24T12:27:49.592971
TRN0022,2,20,TRK0176,STN093,STN004,Ludhiana Jn,Ambala Cantt Jn,430,440,10,2025-09-24T17:43:49.592971,2025-09-24T17:53:49.592971
TRN0022,2,20,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,522,532,10,2025-09-24T19:15:49.592971,2025-09-24T19:25:49.592971
TRN0022,2,20,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,532,542,10,2025-09-24T19:25:49.592971,2025-09-24T19:35:49.592971
TRN0023,3,19,TRK0166,STN006,STN074,Amritsar Jn,Jalandhar City Jn,203,212,9,2025-09-24T13:56:49.592971,2025-09-24T14:05:49.592971
TRN0023,3,19,TRK0177,STN074,STN093,Jalandhar City Jn,Ludhiana Jn,224,233,9,2025-09-24T14:17:49.592971,2025-09-24T14:26:49.592971
TRN0023,3,19,TRK0176,STN093,STN004,Ludhiana Jn,Ambala Cantt Jn,454,463,9,2025-09-24T18:07:49.592971,2025-09-24T18:16:49.592971
TRN0023,3,19,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,624,633,9,2025-09-24T20:57:49.592971,2025-09-24T21:06:49.592971
TRN0023,3,19,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,640,649,9,2025-09-24T21:13:49.592971,2025-09-24T21:22:49.592971
TRN0024,3,7,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,16,29,13,2025-09-24T10:49:49.592971,2025-09-24T11:02:49.592971
TRN0024,3,7,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,35,48,13,2025-09-24T11:08:49.592971,2025-09-24T11:21:49.592971
TRN0024,3,7,TRK0176,STN004,STN093,Ambala Cantt Jn,Ludhiana Jn,75,88,13,2025-09-24T11:48:49.592971,2025-09-24T12:01:49.592971
TRN0024,3,7,TRK0177,STN093,STN074,Ludhiana Jn,Jalandhar City Jn,416,429,13,2025-09-24T17:29:49.592971,2025-09-24T17:42:49.592971
TRN0024,3,7,TRK0166,STN074,STN006,Jalandhar City Jn,Amritsar Jn,429,442,13,2025-09-24T17:42:49.592971,2025-09-24T17:55:49.592971
TRN0025,3,18,TRK0168,STN075,STN006,Jammu Tawi,Amritsar Jn,50,58,8,2025-09-24T11:23:49.592971,2025-09-24T11:31:49.592971
TRN0025,3,18,TRK0166,STN006,STN074,Amritsar Jn,Jalandhar City Jn,217,225,8,2025-09-24T14:10:49.592971,2025-09-24T14:18:49.592971
TRN0025,3,18,TRK0177,STN074,STN093,Jalandhar City Jn,Ludhiana Jn,464,472,8,2025-09-24T18:17:49.592971,2025-09-24T18:25:49.592971
TRN0025,3,18,TRK0176,STN093,STN004,Ludhiana Jn,Ambala Cantt Jn,489,497,8,2025-09-24T18:42:49.592971,2025-09-24T18:50:49.592971
TRN0025,3,18,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,612,620,8,2025-09-24T20:45:49.592971,2025-09-24T20:53:49.592971
TRN0025,3,18,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,624,632,8,2025-09-24T20:57:49.592971,2025-09-24T21:05:49.592971
TRN0026,3,14,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,116,125,9,2025-09-24T12:29:49.592971,2025-09-24T12:38:49.592971
TRN0026,3,14,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,150,159,9,2025-09-24T13:03:49.592971,2025-09-24T13:12:49.592971
TRN0026,3,14,TRK0176,STN004,STN093,Ambala Cantt Jn,Ludhiana Jn,182,191,9,2025-09-24T13:35:49.592971,2025-09-24T13:44:49.592971
TRN0026,3,14,TRK0177,STN093,STN074,Ludhiana Jn,Jalandhar City Jn,307,316,9,2025-09-24T15:40:49.592971,2025-09-24T15:49:49.592971
TRN0026,3,14,TRK0166,STN074,STN006,Jalandhar City Jn,Amritsar Jn,316,325,9,2025-09-24T15:49:49.592971,2025-09-24T15:58:49.592971
TRN0026,3,14,TRK0168,STN006,STN075,Amritsar Jn,Jammu Tawi,326,335,9,2025-09-24T15:59:49.592971,2025-09-24T16:08:49.592971
TRN0027,4,23,TRK0179,STN023,STN096,Bathinda Cantt,Meerut City,23,31,8,2025-09-24T10:56:49.592971,2025-09-24T11:04:49.592971
TRN0027,4,23,TRK0096,STN096,STN095,Meerut City,Meerut Cantt,31,35,4,2025-09-24T11:04:49.592971,2025-09-24T11:08:49.592971
TRN0028,4,8,TRK0096,STN095,STN096,Meerut Cantt,Meerut City,8,12,4,2025-09-24T10:41:49.592971,2025-09-24T10:45:49.592971
TRN0028,4,8,TRK0179,STN096,STN023,Meerut City,Bathinda Cantt,12,23,11,2025-09-24T10:45:49.592971,2025-09-24T10:56:49.592971
TRN0029,5,21,TRK0186,STN102,STN045,New Delhi,Delhi Shahdara,553,564,11,2025-09-24T19:46:49.592971,2025-09-24T19:57:49.592971
TRN0029,5,21,TRK0140,STN045,STN004,Delhi Shahdara,Ambala Cantt Jn,762,773,11,2025-09-24T23:15:49.592971,2025-09-24T23:26:49.592971
TRN0030,5,17,TRK0140,STN004,STN045,Ambala Cantt Jn,Delhi Shahdara,714,723,9,2025-09-24T22:27:49.592971,2025-09-24T22:36:49.592971
TRN0030,5,17,TRK0186,STN045,STN102,Delhi Shahdara,New Delhi,729,738,9,2025-09-24T22:42:49.592971,2025-09-24T22:51:49.592971
TRN0031,5,22,TRK0189,STN102,STN060,New Delhi,Hapur Jn,181,195,14,2025-09-24T13:34:49.592971,2025-09-24T13:48:49.592971
TRN0031,5,22,TRK0178,STN060,STN095,Hapur Jn,Meerut Cantt,195,209,14,2025-09-24T13:48:49.592971,2025-09-24T14:02:49.592971
TRN0032,5,23,TRK0178,STN095,STN060,Meerut Cantt,Hapur Jn,88,100,12,2025-09-24T12:01:49.592971,2025-09-24T12:13:49.592971
TRN0032,5,23,TRK0189,STN060,STN102,Hapur Jn,New Delhi,122,134,12,2025-09-24T12:35:49.592971,2025-09-24T12:47:49.592971
TRN0033,5,9,TRK0201,STN102,STN119,New Delhi,Rohtak Jn,9,19,10,2025-09-24T10:42:49.592971,2025-09-24T10:52:49.592971
TRN0033,5,9,TRK0206,STN119,STN120,Rohtak Jn,Roorkee,69,79,10,2025-09-24T11:42:49.592971,2025-09-24T11:52:49.592971
TRN0034,5,20,TRK0206,STN120,STN119,Roorkee,Rohtak Jn,49,60,11,2025-09-24T11:22:49.592971,2025-09-24T11:33:49.592971
TRN0034,5,20,TRK0201,STN119,STN102,Rohtak Jn,New Delhi,319,330,11,2025-09-24T15:52:49.592971,2025-09-24T16:03:49.592971
TRN0035,5,19,TRK0201,STN102,STN119,New Delhi,Rohtak Jn,19,31,12,2025-09-24T10:52:49.592971,2025-09-24T11:04:49.592971
TRN0035,5,19,TRK0199,STN119,STN088,Rohtak Jn,Kurukshetra Jn,72,84,12,2025-09-24T11:45:49.592971,2025-09-24T11:57:49.592971
TRN0035,5,19,TRK0194,STN088,STN104,Kurukshetra Jn,Panipat Jn,84,96,12,2025-09-24T11:57:49.592971,2025-09-24T12:09:49.592971
TRN0036,5,12,TRK0194,STN104,STN088,Panipat Jn,Kurukshetra Jn,21,33,12,2025-09-24T10:54:49.592971,2025-09-24T11:06:49.592971
TRN0036,5,12,TRK0199,STN088,STN119,Kurukshetra Jn,Rohtak Jn,97,109,12,2025-09-24T12:10:49.592971,2025-09-24T12:22:49.592971
TRN0036,5,12,TRK0201,STN119,STN102,Rohtak Jn,New Delhi,150,162,12,2025-09-24T13:03:49.592971,2025-09-24T13:15:49.592971
TRN0037,5,24,TRK0212,STN102,STN134,New Delhi,Sonipat Jn,24,35,11,2025-09-24T10:57:49.592971,2025-09-24T11:08:49.592971
TRN0038,5,26,TRK0212,STN134,STN102,Sonipat Jn,New Delhi,69,78,9,2025-09-24T11:42:49.592971,2025-09-24T11:51:49.592971
TRN0039,5,11,TRK0188,STN102,STN053,New Delhi,Ghaziabad Jn,11,22,11,2025-09-24T10:44:49.592971,2025-09-24T10:55:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,22,33,11,2025-09-24T10:55:49.592971,2025-09-24T11:06:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,33,44,11,2025-09-24T11:06:49.592971,2025-09-24T11:17:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,51,62,11,2025-09-24T11:24:49.592971,2025-09-24T11:35:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,62,73,11,2025-09-24T11:35:49.592971,2025-09-24T11:46:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,73,84,11,2025-09-24T11:46:49.592971,2025-09-24T11:57:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,84,95,11,2025-09-24T11:57:49.592971,2025-09-24T12:08:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,95,106,11,2025-09-24T12:08:49.592971,2025-09-24T12:19:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,106,117,11,2025-09-24T12:19:49.592971,2025-09-24T12:30:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,117,128,11,2025-09-24T12:30:49.592971,2025-09-24T12:41:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,128,139,11,2025-09-24T12:41:49.592971,2025-09-24T12:52:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,139,150,11,2025-09-24T12:52:49.592971,2025-09-24T13:03:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,150,161,11,2025-09-24T13:03:49.592971,2025-09-24T13:14:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,161,172,11,2025-09-24T13:14:49.592971,2025-09-24T13:25:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,172,183,11,2025-09-24T13:25:49.592971,2025-09-24T13:36:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,183,194,11,2025-09-24T13:36:49.592971,2025-09-24T13:47:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,194,205,11,2025-09-24T13:47:49.592971,2025-09-24T13:58:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,205,216,11,2025-09-24T13:58:49.592971,2025-09-24T14:09:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,216,227,11,2025-09-24T14:09:49.592971,2025-09-24T14:20:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,227,238,11,2025-09-24T14:20:49.592971,2025-09-24T14:31:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,238,249,11,2025-09-24T14:31:49.592971,2025-09-24T14:42:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,249,260,11,2025-09-24T14:42:49.592971,2025-09-24T14:53:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,260,271,11,2025-09-24T14:53:49.592971,2025-09-24T15:04:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,271,282,11,2025-09-24T15:04:49.592971,2025-09-24T15:15:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,282,293,11,2025-09-24T15:15:49.592971,2025-09-24T15:26:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,293,304,11,2025-09-24T15:26:49.592971,2025-09-24T15:37:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,304,315,11,2025-09-24T15:37:49.592971,2025-09-24T15:48:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,315,326,11,2025-09-24T15:48:49.592971,2025-09-24T15:59:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,326,337,11,2025-09-24T15:59:49.592971,2025-09-24T16:10:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,337,348,11,2025-09-24T16:10:49.592971,2025-09-24T16:21:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,348,359,11,2025-09-24T16:21:49.592971,2025-09-24T16:32:49.592971
TRN0039,5,11,TRK0147,STN053,STN053,Ghaziabad Jn,Ghaziabad Jn,359,370,11,2025-09-24T16:32:49.592971,2025-09-24T16:43:49.592971
TRN0040,5,23,TRK0188,STN053,STN102,Ghaziabad Jn,New Delhi,33,46,13,2025-09-24T11:06:49.592971,2025-09-24T11:19:49.592971
TRN0041,3,9,TRK0156,STN041,STN063,Dehradun,Haridwar Jn,80,91,11,2025-09-24T11:53:49.592971,2025-09-24T12:04:49.592971
TRN0041,3,9,TRK0210,STN063,STN123,Haridwar Jn,Saharanpur Jn,101,112,11,2025-09-24T12:14:49.592971,2025-09-24T12:25:49.592971
TRN0041,3,9,TRK0207,STN123,STN004,Saharanpur Jn,Ambala Cantt Jn,112,123,11,2025-09-24T12:25:49.592971,2025-09-24T12:36:49.592971
